site number,site location,Cluster,site acronym,date,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,comments
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2002,22.9,18.2,7.78,NA,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2002,27.4,17.7,8.14,NA,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2002,32,17.4,8,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2002,36.6,16.7,5.6,NA,NA,NA,NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2002,41.1,14.3,0.4,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2002,4.6,18.2,7.8,NA,NA,NA,NA
R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,2002,45.7,13.7,0.18,NA,NA,NA,NA
R2-55,Lake Pleasant integrated sample,cap,pleasant-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2002,0,18.2,8,NA,1.9,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2002,9.1,18.1,7.74,NA,NA,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2002,9.1,11.4,10.4,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2002,13.7,18,7.74,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2002,13.7,11.4,10.3,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2002,18.3,18,7.3,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2002,18.3,11,9.5,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2002,22.9,17.9,6.93,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2002,22.9,10.7,8.8,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2002,27.4,17.6,6.37,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2002,27.4,10.5,8.2,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2002,32,17.5,5.68,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2002,32,NA,NA,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2002,4.6,18.2,7.75,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2002,4.6,11.5,10.3,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R6-55,Bartlett Reservoir near outlet,verde,bartlett-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R6-55,Bartlett Reservoir near outlet,verde,bartlett-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2002,0,18.5,7.88,NA,1.4,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2002,0,11.5,10.1,NA,1.3,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2002,9.1,19.8,6.09,NA,NA,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2002,9.1,13.7,10.4,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2002,13.7,19.7,6.09,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2002,13.7,13.6,10.2,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2002,18.3,19.7,6.09,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2002,18.3,13.5,10,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2002,22.9,19.6,6.04,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2002,22.9,13.5,9.3,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2002,27.4,19.6,5.92,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2002,27.4,13.4,8.7,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2002,32,19.6,5.92,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2002,32,NA,NA,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2002,4.6,20,6.12,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2002,4.6,14,10.8,NA,NA,NA,NA
R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R9-55,Saguaro Lake near inlet,salt,saguaro-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R9-55,Saguaro Lake near inlet,salt,saguaro-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2002,0,20.6,6.7,NA,2.4,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2002,0,14.6,10.38,NA,2.29,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,16.5,NA,6.5,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,15.7,NA,6.5,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,14.2,NA,9.1,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,15.4,NA,6.6,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,15.3,NA,6.5,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,15.8,NA,6.6,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,14.9,NA,6.6,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,16,NA,6.5,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,15.9,NA,6.5,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,16.3,NA,6.5,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,15,NA,6.4,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,14.6,NA,6.5,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,15.2,NA,9.1,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,13.9,NA,9.1,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,13.5,NA,9.2,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,13.2,NA,9.1,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,14,NA,9.1,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,13.5,NA,9.1,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,14.8,NA,9.2,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,15.4,NA,9.1,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,14.2,NA,9.1,NA,NA,NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2002,9.1,16.2,9.09,NA,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2002,13.7,16.1,9.05,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,14.3,NA,9.2,NA,NA,NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2002,18.3,16.1,9.03,NA,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2002,22.9,16.2,9,NA,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2002,27.4,16.1,8.95,NA,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2002,32,16.1,9,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2002,36.6,16.1,8.95,NA,NA,NA,NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2002,41.1,16.1,9.03,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2002,4.6,16.2,9,NA,NA,NA,NA
R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,2002,45.7,16.1,9.03,NA,NA,NA,NA
R2-55,Lake Pleasant integrated sample,cap,pleasant-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2002,0,16,8.8,NA,2.7,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2002,9.1,15.9,8.08,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2002,13.7,15.9,8,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2002,18.3,15.8,7.79,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2002,22.9,15.4,7.26,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2002,27.4,15.2,6.61,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2002,32,NA,NA,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2002,4.6,15.8,8.26,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R6-55,Bartlett Reservoir near outlet,verde,bartlett-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2002,0,15.8,8.2,NA,1.5,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2002,9.1,18.2,6.39,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2002,13.7,18.1,6.39,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2002,18.3,18.1,6.49,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2002,22.9,18.1,6.38,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2002,27.4,18,6.24,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2002,32,NA,NA,NA,NA,NA,NA
R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2002,4.6,18.2,6.44,NA,NA,NA,NA
R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R9-55,Saguaro Lake near inlet,salt,saguaro-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-0m,2002,0,18.2,7.07,NA,1.8,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,13.5,NA,9.1,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,15.2,NA,9.1,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,13.9,NA,9.1,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,13.5,NA,9.2,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,13.2,NA,9.1,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,14,NA,9.1,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,13.5,NA,9.1,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,14.8,NA,9.2,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,15.4,NA,9.1,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,14.2,NA,9.1,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,14.3,NA,9.2,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,13.5,NA,9.1,NA,NA,NA
16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,2002,NA,13.8,922,NA,NA,NA,NA
19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,2002,NA,13.8,9.11,NA,NA,NA,NA
Cons,Head of the Tempe Canal,tempe,head of tempe canal,2002,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2002,NA,12.9,9.17,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2002,NA,12.2,9.09,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2002,NA,13,9.08,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2002,NA,13.1,9.12,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2002,NA,13.8,9.21,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2002,NA,13.4,9.12,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2002,NA,13.5,9.15,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2002,NA,13.5,9.17,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2002,NA,12.8,9.11,NA,NA,NA,NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2002,9.1,14,8.2,NA,NA,NA,NA
R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,2002,9.1,12.3,10.2,NA,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2002,13.7,14,8.06,NA,NA,NA,NA
R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,2002,13.7,12.3,10.2,NA,NA,NA,NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2002,18.3,14,8.19,NA,NA,NA,NA
R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,2002,18.3,12.2,10.2,NA,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2002,22.9,13.8,8.4,NA,NA,NA,NA
R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,2002,22.9,12.2,10.1,NA,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2002,27.4,13.7,8.4,NA,NA,NA,NA
R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,2002,27.4,12.1,10,NA,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2002,32,13.7,8.78,NA,NA,NA,NA
R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,2002,32,12.1,9.8,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2002,36.6,13.7,9,NA,NA,NA,NA
R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,2002,36.6,12,9.7,NA,NA,NA,NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2002,41.1,13.7,8.6,NA,NA,NA,NA
R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,2002,41.1,12,9.5,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2002,4.6,14,8.17,NA,NA,NA,NA
R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,2002,4.6,12.3,10.2,NA,NA,NA,NA
R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,2002,45.7,13.7,8.2,NA,NA,NA,NA
R2-50,Lake Pleasant integrated sample,cap,pleasant-50m,2002,45.7,12,9.5,NA,NA,NA,NA
R2-55,Lake Pleasant integrated sample,cap,pleasant-55m,2002,50.3,13.7,8.2,NA,NA,NA,NA
R2-55,Lake Pleasant integrated sample,cap,pleasant-55m,2002,50.3,12,9.4,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2002,0,13.9,8.34,NA,3,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-0m,2002,0,12.3,10.1,NA,3.81,NA,NA
R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2002,9.1,13.3,8.89,NA,NA,NA,NA
R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2002,13.7,13.3,8.8,NA,NA,NA,NA
R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2002,18.3,13.1,8.55,NA,NA,NA,NA
R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2002,22.9,12.8,8.43,NA,NA,NA,NA
R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2002,27.4,12.6,8.43,NA,NA,NA,NA
R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2002,32,NA,NA,NA,NA,NA,NA
R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2002,36.6,NA,NA,NA,NA,NA,NA
R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2002,41.1,NA,NA,NA,NA,NA,NA
R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2002,4.6,13.4,8.83,NA,NA,NA,NA
R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2002,45.7,NA,NA,NA,NA,NA,NA
R6-55,Bartlett Reservoir near outlet,verde,bartlett-55m,2002,50.3,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2002,0,13.5,9.03,NA,1.1,NA,NA
R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2002,9.1,15.6,7.3,NA,NA,NA,NA
R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2002,13.7,15.6,7.38,NA,NA,NA,NA
R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2002,18.3,15.5,7.65,NA,NA,NA,NA
R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2002,22.9,15.5,7.42,NA,NA,NA,NA
R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2002,27.4,15.5,7.34,NA,NA,NA,NA
R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2002,32,NA,NA,NA,NA,NA,NA
